label,text
atis_flight, show me flights from milwaukee to orlando on wednesday night
atis_flight, find a flight from boston to washington on monday
atis_flight, what flights are there from tampa to charlotte
atis_flight, saturday or sunday flights between milwaukee and phoenix american airlines
atis_flight, is there a flight leaving at 1505 from pittsburgh to baltimore on july twenty fifth 1991
atis_abbreviation, what is ff
atis_flight, show me all round trip flights between houston and las vegas
atis_flight, what are connecting flights from chicago to seattle on june first
atis_ground_fare, what are the costs of car rental in dallas
atis_flight, what's the cheapest one way flight from oakland to washington dc
atis_airfare, and how much does it cost to travel from boston airport to downtown
atis_flight, are there any flights available from baltimore to dallas monday afternoon
atis_airfare, what is the cost of a first class ticket from dallas fort worth to san francisco
atis_flight_no, i would like the flight number and the time for the cheapest fare that is the least expensive first class fare from san francisco to pittsburgh leaving after 8 pm monday night
atis_flight, what flight do you have from atlanta to dallas on august twenty seventh in the morning
atis_flight, i'd like to fly from dallas to san francisco at approximately 615 pm
atis_flight, list daily flights from oakland to boston using twa
atis_flight, show me all flights on southwest airlines from san diego to san francisco
atis_flight, i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you
atis_flight, on a flight from san francisco to atlanta that leaves before 8 am is there such a flight
atis_flight, i am interested in booking an early morning flight from dallas into houston and returning in the late evening
atis_flight, i need a flight from denver to philadelphia
atis_flight, what is the first flight after 12 noon from washington for denver
atis_flight, flights from columbus to milwaukee
atis_flight, show me all united airlines first class flights
atis_flight, show me the flights from all airports to love field
atis_flight, show me the flights from baltimore to oakland
atis_flight, what flights are available friday from philadelphia to oakland
atis_flight, i need to reverse the flight from pittsburgh to denver please
atis_airline, what airlines fly from boston to atlanta
atis_flight, what are my choices of flights leaving early afternoon from minneapolis to indianapolis
atis_flight, chicago to san francisco on continental
atis_flight, show me flights from san francisco to boston on thursday
atis_flight, what are flights from boston to st. petersburg
atis_flight_time, what time does the flight leave denver going to san francisco on continental airlines
atis_flight, show me all flights from new york to miami leaving on a tuesday and returning on sunday
atis_flight, i'm interested in a flight from pittsburgh to atlanta
atis_flight, show me a list of the flights from san francisco to boston
atis_flight, morning flight from dallas to atlanta
atis_flight, what flights from atlanta to st. louis on tuesday arriving around 230 pm
atis_airport, please show me all airports in denver
atis_airfare, how much does a first class ticket cost from boston to san francisco round trip
atis_flight, is there a flight on eastern airlines from boston to denver
atis_airfare, what is the price of a one way fare from atlanta to boston
atis_flight, does united airlines provide any first class flights from denver to baltimore
atis_aircraft, well i'll try last time tell me the kind of aircraft united airlines flies from denver to san francisco before 10 o'clock in the morning
atis_flight, show me the flights from san diego to newark
atis_flight, can you list all nonstop flights between st. petersburg and charlotte that leave in the afternoon and arrive soon after 5 pm
atis_flight, list flights from philadelphia to dallas
atis_flight, show me flights from denver to philadelphia
atis_flight, show me a list of flights from boston to atlanta leaving after noon and arriving before 7 pm
atis_airline, what airlines fly from new york to milwaukee to los angeles
atis_flight, list flights from pittsburgh to baltimore on thursday morning nonstop
atis_flight, show me all the flights on delta airlines and twa that go to atlanta in the morning
atis_flight, i'm trying to find a flight from kansas city to burbank on saturday the twenty second
atis_flight, show me all flights to philadelphia in the evening
atis_flight, i would like to fly from baltimore to san francisco on eastern airlines
atis_aircraft, list types of aircraft that fly between boston and san francisco
atis_ground_service, what ground transportation is available in charlotte
atis_flight, show me flights from los angeles to pittsburgh for tuesday
atis_flight, what flights return from denver to philadelphia on a saturday
atis_flight, give me flights that arrive in baltimore from atlanta denver and pittsburgh
atis_flight, okay what i would like to know is does twa flight 505 from charlotte to las vegas with a stop in st. louis serve dinner that's twa flight 505 or 163
atis_flight, i need a flight from los angeles to pittsburgh on monday afternoon
atis_airfare, what are the lowest one way fares from atlanta to denver
atis_flight, what flights from boston arrive in dallas fort worth before 5 pm
atis_flight, i would like to fly from boston to philadelphia next thursday
atis_ground_service, tell me about ground transportation between the dallas fort worth airport and downtown dallas
atis_aircraft, show me the aircraft that canadian airlines uses
atis_flight, show flights from philadelphia to dallas on saturday
atis_flight, show me flights from atlanta to washington please
atis_airfare, what are the lowest one way fares from atlanta to pittsburgh
atis_flight, please show me united nonstop flights between boston and san francisco departing around 5 in the evening
atis_flight, i would like to see the flights from denver to philadelphia
atis_flight, eastern flies from atlanta to denver what type of aircraft do you use before 6 pm
atis_airfare, what's the first class fare round trip from atlanta to denver
atis_airfare, show me the most expensive one way first class fare from baltimore to dallas
atis_flight, which northwest and united flights go through denver before noon
atis_flight, show me the shortest flight from boston to denver which arrives in denver wednesday before noon
atis_aircraft, what type of aircraft leaves from boston to washington dc at 9 am during a weekday
atis_flight, what flights are available friday afternoon from atlanta to dallas
atis_airline, what airlines flies out of atlanta
atis_abbreviation, what does ua stand for
atis_flight_time, can you tell me the time a flight would leave from atlanta to boston in the afternoon
atis_flight, show me the flights from cincinnati
atis_airline, please show me airlines with flights from denver to boston with stop in philadelphia
atis_flight, show me the flights from love field
atis_flight, what are the afternoon flights leaving from dallas to san francisco on american airlines
atis_airfare, what are the coach fares for flights from charlotte to newark tuesday afternoon
atis_flight, my destination is san francisco i live in denver i would like a flight on august thirtieth in the morning on any airline that will get me there
atis_quantity, how many united flights are there to san francisco
atis_flight, what flights go from newark to boston after 1024 in the morning
atis_flight, please list all flights from atlanta to baltimore on wednesday and thursday
atis_flight, i need the flights that leave denver after 7 pm next monday and fly to pittsburgh
atis_flight, list possible round trip daily flights between boston and oakland
atis_flight, flights from montreal and phoenix to las vegas arriving at the same time
atis_airfare, what are the fares from newark to la monday and wednesday
atis_ground_service, ground transportation san francisco
atis_flight, show me the flights from boston to san francisco that arrive in the afternoon
atis_flight, from washington to atlanta
atis_flight, show me flights from pittsburgh to san francisco on friday leaving after 12 noon
atis_flight, i need a flight from cincinnati to san jose leaving after 6 in the evening
atis_flight, what flights can i find from pittsburgh to san francisco after 9 am
atis_flight, what are the classes of service for american airlines
atis_airline, show me the airlines that fly from toronto to san francisco
atis_flight, list all flights from minneapolis to long beach on saturday
atis_flight, what are the cheapest one way flights from atlanta to pittsburgh
atis_flight, what flights from newark to los angeles on wednesday
atis_flight, show me flights from philadelphia to baltimore
atis_airline, which airlines have flights from denver to pittsburgh
atis_flight, yes i'd like a flight from long beach to st. louis by way of dallas
atis_flight, give me flights from atlanta to baltimore
atis_airfare, how much does it cost to fly on american from dallas to baltimore
atis_flight, show me the flights from pittsburgh to dallas
atis_airline, show me first class airlines from san francisco to pittsburgh on next tuesday first class only
atis_flight, i would like to fly from boston to baltimore what time are the flights in the afternoon
atis_ground_service, what is the ground transportation from philadelphia airport to the city proper
atis_flight, please show me any united flights including connections between boston and san francisco at 5 in the evening
atis_flight, flight information from oakland to denver
atis_flight, hello i'm trying to find a flight that goes from pittsburgh to denver after 2 pm
atis_flight, are there any 4 o'clock flights from washington to denver
atis_flight, what flights are available from atlanta to oakland with one way economy fares
atis_flight, show me the flights from san francisco to las vegas
atis_flight, please show me flights available from pittsburgh to atlanta on a weekday
atis_flight, show me flights from dallas to atlanta on tuesday
atis_flight, i'd like to make a trip between atlanta and boston i wish to know the cheapest fare
atis_flight, what flights are there from new york to las vegas
atis_flight, what is the least expensive business class flight between atlanta and dallas
atis_flight, list all the flights that depart from general mitchell international
atis_flight, does twa have a flight from indianapolis to houston arriving at 11 am
atis_flight, looking for a flight to salt lake city
atis_flight, are there any direct flights from atlanta to philadelphia arriving in philadelphia about 12 noon
atis_flight, now i need another flight from las vegas to los angeles arriving also in the late afternoon what's available for that
atis_flight, i want a flight on saturday from minneapolis to long beach
atis_flight, i would like to fly from st. paul to san jose monday morning from san jose to houston tuesday morning and from houston to st. paul on wednesday morning
atis_flight, what flights are there between washington dc and san francisco leaving washington after 6 pm on wednesday
atis_flight, i'd like a flight on july ninth from orlando to kansas city in the afternoon
atis_airfare, first class fares from dallas to baltimore please
atis_flight, what flights are available saturday to san francisco from dallas
atis_flight, what flights are available between boston and washington arriving in washington at 630
atis_flight, find me a flight leaving boston at 12 o'clock
atis_ground_service, show me information on ground transportation for dallas
atis_flight, i'd like to fly round trip from boston to pittsburgh
atis_flight_time, list departure times from denver to philadelphia which are later than 10 o'clock and earlier than 2 pm
atis_flight, list all nonstop flights on wednesday from baltimore to newark before noon
atis_quantity, please tell me how many nonstop flights there are from boston to atlanta
atis_flight, show me the flights before 11 am on august second from boston to denver on delta
atis_airfare, what is the fare on november seventh going one way from pittsburgh to philadelphia
atis_flight, show me the flights from baltimore to pittsburgh
atis_flight, show me flights from pittsburgh to atlanta on monday afternoon
atis_quantity, how many first class flights are provided by american airlines
atis_flight, thanks and what's the last flight back from washington to boston
atis_airline, which airlines fly from boston to washington dc via other cities
atis_airfare, what is the cheapest one way ticket from denver to pittsburgh
atis_flight, show me the flights from san francisco to boston
atis_airfare, show me the first class fares from boston to denver
atis_flight, show me all the flights from atlanta to baltimore on any airline on thursday
atis_flight, what is the least expensive flight available from dallas fort worth to san francisco
atis_airfare, what is the fare for a one way flight from boston to atlanta
atis_flight, please give all flights from dallas to oakland california monday
atis_airfare, what is the cheapest fare from washington to san francisco
atis_flight, show me the flights between atlanta and washington dc for wednesdays
atis_flight, i need to know information for flights leaving dallas on tuesday evening and returning to atlanta
atis_flight, i'd like a united airlines flight on wednesday from san francisco to boston
atis_airfare, cheapest fare from nashville to seattle
atis_ground_service, ground transport in oakland
atis_flight, list all flights on continental departing on monday before noon from denver to chicago
atis_flight, on november twenty third of this year 1991 i'd like to fly from atlanta to denver and i'd like to fly on delta
atis_flight, i need a flight from new york to toronto thursday may six arriving by noon
atis_flight, are there any early flights from atlanta to washington on thursday mornings
atis_flight, what flights go from pittsburgh to denver after 2 pm
atis_flight, on tuesday the twenty third flights from philadelphia to san francisco on american airlines
atis_flight, what are the flights from denver to pittsburgh
atis_abbreviation, what is fare class h
atis_flight, show me the flights from pittsburgh to philadelphia
atis_flight, what flights between dfw and oakland arrive in oakland between 1133 am and 43 pm
atis_flight, what flights are available from boston to denver
atis_flight, find travel arrangements for a round trip flight from dallas to pittsburgh
atis_flight, show me all flights that go from new york to miami on tuesday and go from miami to new york on sunday
atis_flight, what flights go from dallas to san francisco before 6 o'clock sunday afternoon
atis_flight, show flights from pittsburgh into san francisco
atis_flight, i need a flight tomorrow from atlanta to baltimore
atis_airfare, what are the costs of flights from dallas to boston tomorrow
atis_flight, flight from denver to dallas fort worth
atis_ground_service, how do i get downtown from the toronto airport
atis_flight, i need to make reservations from denver to boston
atis_flight, show departures and arrivals in atlanta for american airlines
atis_flight, what are the early morning flights from boston to denver
atis_flight, show flights from memphis to las vegas
atis_flight, is breakfast served on flight ua 343 from boston to denver coach class
atis_flight, list flights from san francisco to denver on friday
atis_airport, what's the name of the denver airport
atis_flight, shortest flight from boston to philadelphia
atis_flight, what delta flights from cincinnati to new york city arrive at new york city before 6 pm on saturday
atis_flight, what's the cheapest one way flight from oakland to boston
atis_flight, i want a flight from los angeles to pittsburgh that arrives before 3 pm on tuesday
atis_flight, please give me flights available from denver to philadelphia
atis_flight, list all the flights from atlanta to philadelphia on august the first
atis_flight, what flights from st. paul to kansas city on friday with breakfast served
atis_flight, show me flights from san francisco to pittsburgh on a sunday
atis_ground_service, show me the ground transportation at denver
atis_flight, could i have a listing of flights leaving boston going to baltimore leaving wednesday after 2100
atis_flight, give me a flight from charlotte to baltimore on tuesday morning
atis_flight, all flights from washington dc to san francisco after 5 pm on november twelfth economy class
atis_ground_service, how much time does it take to go between the airport and downtown by ground transportation in dallas
atis_flight, what flights are available on dl from dallas to atlanta on monday morning
atis_quantity, how many cities are served by delta airlines with first class flights
atis_flight, i'd like an early morning weekday flight from san diego to phoenix
atis_flight, please list the flights from kansas city to denver
atis_airfare, can you tell me the cheapest one way fare from boston to san francisco
atis_flight, i want to go from san francisco to denver
atis_airfare, please list the cost of all flights from philadelphia to denver airport next sunday
atis_flight, flights from nashville to seattle
atis_flight, what are the flights from boston to san francisco leaving tomorrow
atis_aircraft, what type of aircraft is used on the flight from atlanta to philadelphia before 12 o'clock noon
atis_flight, i'd like to book a flight from san diego to toronto
atis_flight, please list the flights from chicago to kansas city
atis_flight, please list only united airlines flights between denver and boston
atis_flight_time, what time are the flights from baltimore to san francisco
atis_flight, list flights from denver to san francisco no denver to philadelphia
atis_flight, what flights from atlanta to toronto
atis_flight, show me the united flights which go from boston to washington dc
atis_flight, show me flights between milwaukee and phoenix on saturday or sunday american airlines
atis_airfare, what is the airfare between denver and pittsburgh
atis_flight, what flights go from pittsburgh to baltimore after 8 o'clock next wednesday
atis_quantity, how many flights does each airline have with business class service
atis_flight, i'd like to book the cheapest one way flight from denver to pittsburgh
atis_ground_service, show me ground transportation in baltimore
atis_airfare, how much does it cost to fly eastern airlines from atlanta to boston
atis_flight, is there a delta flight from boston to denver
atis_flight, please repeat the flight departures for monday august nineteenth from denver to pittsburgh
atis_flight, what flights are available from san francisco to pittsburgh on monday morning
atis_flight, show me the flights from baltimore to oakland
atis_flight, what is the latest flight leaving washington for denver
atis_flight, do you have a flight from charlotte to atlanta on june first
atis_airline, which airlines serve denver
atis_flight, i'd need information please on a flight from washington dc san francisco california
atis_flight, tell me about flights from charlotte to atlanta next tuesday
atis_flight, display all flights from baltimore to dallas on july twenty ninth
atis_flight, list daily flights from boston to oakland using twa
atis_flight, show me flights from pittsburgh to philadelphia
atis_flight, i want to travel from atlanta to baltimore early in the morning first flight
atis_flight, i want to go from boston to oakland on united and leave at 838 am which flight should i take
atis_flight, what are the nonstop flights from kansas city to burbank arriving on saturday may twenty two
atis_flight, can you show me the flights from baltimore to dallas
atis_flight, can you give me a list of the flights from atlanta to boston
atis_flight, flights from pittsburgh to baltimore between 10 am and 2 pm
atis_flight, i'd like to fly from boston to oakland through denver
atis_flight, flight information from denver to san francisco
atis_flight, do you have a flight from atlanta to charlotte north carolina next monday
atis_flight, from las vegas to phoenix departing in the morning
atis_airfare, show me fares leaving on tuesdays from denver to go to dallas
atis_airfare, what is the cost of united airlines flight 415 from chicago to kansas city thursday night
atis_ground_service, i need information on ground transportation from the airport in atlanta
atis_flight, show me all flights from orlando to san diego on a boeing 737
atis_flight, show me the flights from denver to westchester county
atis_flight, show departures from atlanta for american
atis_flight, show me all daily flights between milwaukee and orlando
atis_flight, what flights go from boston to denver before 10 am
atis_flight, flights from kansas city to cleveland and price
atis_flight, please give me all flights from long beach to memphis
atis_flight, show me all flights between boston and washington
atis_flight, the cheapest flights from atlanta to philadelphia that arrive after 12 pm on a tuesday
atis_flight, i live in denver and i'd like to make a trip to pittsburgh
atis_airfare, could you please give me the cost of a round trip flight from denver to pittsburgh
atis_flight, i'm looking for a flight leaving denver traveling to atlanta and stopping at pittsburgh is this possible
atis_flight, may i fly from san francisco to baltimore
atis_ground_service, show me ground transportation in denver
atis_flight, what flight from boston to atlanta arrives earliest in atlanta
atis_ground_service, ground transportation dallas
atis_airfare, show me fares leaving on tuesdays from denver to dallas
atis_flight, show all flights between san francisco and philadelphia for september fifteenth
atis_ground_service, what is ground transportation between the san francisco airport and the city
atis_flight_time, show me times for coach flights between boston and baltimore on wednesday
atis_flight, i'm trying to find a flight from columbus to phoenix through cincinnati
atis_flight, what's the earliest flight i can get between boston and dallas
atis_airline, what airlines are there
atis_flight, i need a flight from newark to los angeles leaving tomorrow evening
atis_abbreviation, what is the ap 57 restriction
atis_abbreviation, what is fare code y mean
atis_flight, i want to go from baltimore to san francisco with a stopover in denver
atis_flight, i need to fly leaving philadelphia to atlanta
atis_ground_service, tell me about ground transportation between orlando international and orlando
atis_flight, list all united flights from boston to san francisco
atis_ground_service, what is the ground transportation available in the city of philadelphia
atis_airfare, cheapest airfare from orlando to tacoma
atis_flight, please list the flights from charlotte to long beach arriving after lunch time
atis_flight, show me the flights that go from atlanta to washington on thursday mornings
atis_flight, show united flights between pittsburgh and baltimore
atis_flight, is there a united airlines flight from miami to washington dc arriving around noon
atis_flight, give me nonstop flights from new york city to las vegas
atis_flight, what flights from denver to salt lake city
atis_flight, atlanta to oakland thursday
atis_airline, is us air
atis_flight, show me all flights from pittsburgh to dallas
atis_flight, i'm looking for a flight traveling from boston to denver one way and the cheapest way possible
atis_flight, i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore
atis_flight, show me the flights from dallas to baltimore
atis_flight, tell me about flights from st. petersburg arriving in toronto before noon
atis_flight, what flights are from memphis to las vegas
atis_flight, show me all flights from denver or philadelphia or pittsburgh to baltimore
atis_ground_service, what ground transportation is available in dallas tomorrow
atis_flight, and flight from oakland to boston leaving after midnight
atis_airline, airline code as
atis_ground_service, please give grounds transportation at dallas airport
atis_flight, are there any flights from boston to san francisco stopping in denver
atis_airfare, please show me airfare of flight us 345 from boston to pittsburgh
atis_flight, show me flights from milwaukee to orlando on wednesday after 6 pm
atis_flight, show me the flights to love field from all other airports
atis_flight, i need a flight from san francisco to pittsburgh and then pittsburgh to new york and new york to san francisco
atis_flight, what are the cheapest one way flights from pittsburgh to atlanta
atis_flight, newark to cleveland
atis_flight, show me flights from philadelphia to oakland on friday
atis_flight, looking for flights in toronto to san diego
atis_flight, what are the flights from atlanta to boston in the afternoon
atis_flight, please give me flight schedules from baltimore to philadelphia
atis_flight, what flights go from boston to atlanta next tuesday
atis_flight, does flight dl 1083 from philadelphia to denver fly on saturdays
atis_flight, philadelphia to san francisco with one stop in dallas please
atis_flight, please list all the flights from boston to denver which serve meals
atis_quantity, how many cities are served by eastern with first class flights
atis_flight, in the next two days i want to fly from nashville to san jose or to tacoma
atis_flight, i would like to see the flights from denver to philadelphia
atis_ground_service, what sort of ground transportation is there in washington dc
atis_flight, give me the flights from phoenix to milwaukee on wednesday
atis_flight, yes i would like to find what flights are available from atlanta to boston on the morning of july seventh
atis_ground_service, what kind of ground transportation is there in philadelphia
atis_flight, show me flights from denver to washington dc on a wednesday
atis_flight, what flights land at general mitchell international
atis_flight, show me first class round trip flights from new york to miami i want the cheapest first class fare please
atis_flight, show me flights from all airports to love field
atis_flight, what are the afternoon flights from denver to san francisco
atis_airfare, could you find me the cheapest fare from boston to san francisco
atis_flight, what are the flights from chicago to indianapolis
atis_flight, show morning flights from san francisco to pittsburgh
atis_flight, what flights leave from nashville to milwaukee
atis_airport, houston airports
atis_flight, list flights between denver and pittsburgh
atis_aircraft, on the 8 am flight from san francisco to atlanta what type of aircraft is used
atis_flight, philadelphia to san francisco next week tuesday show the flights
atis_flight, what flights leave after 7 pm from boston to pittsburgh
atis_ground_service, i need ground transportation in seattle
atis_airfare, cheapest airfare from tacoma to orlando
atis_ground_service, what ground transportation is available at boston
atis_airline, what airlines from washington dc to columbus
atis_flight, show me the list of flights between philadelphia and denver that leave in the afternoon
atis_flight, show me flights from boston to philadelphia on a monday
atis_flight, now show me the flights from memphis to cleveland
atis_flight, flights on twa from columbus to st. louis
atis_flight, i want information on flights from atlanta to washington dc i want to leave after 4 pm on wednesday or before 9 am on thursday
atis_airline, show me the airlines that fly from san francisco to boston
atis_airfare, show me fares for flights from minneapolis to seattle on july first 1993
atis_ground_service, what are the ground transportation services in philadelphia
atis_aircraft, does delta aircraft fly dc10
atis_flight, i would like a flight from boston to atlanta
atis_flight, show me the flights arriving on baltimore on june fourteenth
atis_flight_time, what time does twa depart from boston to go to san francisco
atis_flight, flight from long beach to columbus on twenty seventh
atis_flight, i need to go from philadelphia to dallas
atis_flight, i'd like to go from boston to pittsburgh to find the cheapest flight
atis_flight, show me the list of us air flights between boston and dc
atis_flight, i need a flight from phoenix to detroit leaving monday evening
atis_flight, what flight do you have from san francisco to pittsburgh on the evening of august twenty seventh
atis_flight, united airlines stopping in denver
atis_distance, how far is oakland airport from downtown
atis_restriction, what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars
atis_ground_service, what ground transportation is available at baltimore
